lat,long,username,location,original_tweet_status_id,original_tweet,reply_tweet_status_id,reply_tweet
33.512428,-117.75971,SafaouiW,"Laguna Beach, United States",469194616911056896,@carolinexclark I beleive @InterNationsorg has updated the profile settings so that we can choose to  disable the twinkling ... check it out,469196019201482753,@SafaouiW I think you meant to type 'believe'
-30.559482,22.937506,JanineIlona,", South Africa",453962648204632064,@Debora_Patta And we all beleive this!! NOT.. Do the crime Oscar now do the time..,453963360112234498,@JanineIlona I think you meant to type 'believe'
9.4212592,121.2824953,EdwardFortaleza,", Philippines",453609152632201216,Heck yeah! 3g is now working on my phone! Thank you so much curiousity xD,453618402251538432,@awkedward I think you meant to type 'curiosity'
-6.2087634,106.845599,Buset_d,"Jakarta, Indonesia",453613549474955265,@ce_escourt out of curiousity why above 40? Lam kenal,453618374355197953,@Buset_d I think you meant to type 'curiosity'
-7.797068399999999,110.3705267,HamadALMaskery,"Yogyakarta, Indonesia",453617040448700418,"@Husain_GFX 
Looool hahaha , even GTranslate wont help us find out !

I do love your curiousity though , lol ;-).",453618357506674688,@HamadALMaskery I think you meant to type 'curiosity'
50.82253000000001,-0.137163,zoe994,"Brighton, United Kingdom",453603578373214210,@ellyncp ahah I actually can't beleive it!! Hope your still just a weird though I miss my smeels!,453618280893530112,@zoe994 I think you meant to type 'believe'
34.2831812,-84.7861583,NewYerushalayim,"White, United States",453605685834809344,"@ShepardAtSR2 @JDF_2013 @TheoryFail NOW YOU BELEIVE IN GOD. MAKE UP YOUR MIND, UNSTABLE.",453618209787486210,@NewYerushalayim I think you meant to type 'believe'
6.7604429,68.1061138,vishnu_7393,,453606738718359552,@ihansika hey dont beleive wat ur team mate says..just ask outside people...bcaz of promotion it ran otherwise u itself know it..,453618202632007680,@vishnu_7393 I think you meant to type 'believe'
49.6389486,2.7140533,Deanwalker981,"Bus-la-Mésière, France",453608494990917632,@CharlesTrippy I can't Beleive the news:( so sad! Will there still be daily vlogs tho Charles?,453618175184486400,@Deanwalker981 I think you meant to type 'believe'
26.9761707,-82.09064479999999,BlakeH2001,"Port Charlotte, United States",453609753915437056,@YoungHunnaMills I beleive it fuckin apple,453618161808838657,@BlakeH2001 I think you meant to type 'believe'
38.6270025,-90.19940419999999,Herron24J,"St. Louis, United States",453611738168950784,@OAChrisGove hard to beleive it has been 10 years since Odessa High soccer had the greatest season in program history. Time flies!,453618111326212097,@Herron24J I think you meant to type 'believe'
55.378051,-3.435973,BusbySnakeHips,", United Kingdom",453615035643076610,"@Trequartista92 Still beleive his presence impacts games can link up play, provides an outlet, gets opposing FB on the back foot, but it's",453618060474462208,@BusbySnakeHips I think you meant to type 'believe'
38.7222524,-9.1393366,anitakongsdal,"Lisbon, Portugal",453616660390617090,@PoojaMK95 its digfucult - but will never stop to beleive in the good in people.,453618034436235265,@anitakongsdal I think you meant to type 'believe'
