lat	lon	title	description	iconSize	iconOffset	icon
112250.0	446250.0	Thornhill	A great pic from last week's #OpFortress community day in Thornhill @BitternePolice and @SouthamptonCC http://t.co/OI23FzxtRB<br><br><a href=https://twitter.com/HantsPolice/status/385670787916509184 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
112500.0	446500.0	Thornhill	#OpFortress is in Thornhill this pm. The @BitternePolice Safer Neighbourhoods team are joining @SouthamptonCC http://t.co/wAugwft24Z<br><br><a href=https://twitter.com/HantsPolice/status/383506683135156224 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
112750.0	446750.0	Thornhill	#OpFortress van &amp; @BitternePolice in Thornhill after yesterday's drugs warrants in #Southampton. #RebuildCommunities http://t.co/LyFgwWy78z<br><br><a href=https://twitter.com/HantsPolice/status/365793038657785857 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
112863.0	441191.0	MILTON ROAD	RT @UniCopsSoton: #opfortress van hub of community activity in Milton Rd with PCSO Emma &amp; Dave from @BlueLampTrust http://t.co/Qmlt96uWmE<br><br><a href=https://twitter.com/HantsPolice/status/357521792082001920 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
113059.0	442474.0	ROCKSTONE LANE	RT @sccsafercity: Com Safety&amp; @PortswoodPolice will be in Rockstone Lane 10 Jul following concerns about drugs in the area #OpFortress http…<br><br><a href=https://twitter.com/HantsPolice/status/354537691628568577 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
114500.0	439500.0	Old Shirley	RT @ChiefInspCraig: We have 7 people in custody today following a successful search warrant by #OpFortress yesterday in the shirley area.<br><br><a href=https://twitter.com/HantsPolice/status/307446707271106561 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
113500.0	445500.0	Bitterne	RT @ChiefInspCraig: #OpFortress knife amnesty starts tomorrow. Bins can be found at Bitterne &amp; Soton Central police stations. Please ...<br><br><a href=https://twitter.com/HantsPolice/status/307420641370447872 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
113043.0	442349.0	SOUTHCLIFF ROAD	Residents on Southcliff Road tell @PortswoodPolice area improved overnight after closure of 'drug den' http://t.co/DH11iDkb #OpFortress<br><br><a href=https://twitter.com/HantsPolice/status/296269023216300032 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
112987.0	442211.0	SOUTHCLIFF ROAD	#OpFortress @ChiefInspCraig outside house on Southcliff Road we've had closed as it was linked to drugs #rebuildcommunities<br><br><a href=https://twitter.com/HantsPolice/status/296215971792830466 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
112250.0	443250.0	Northam	#OpFortress police activity across #Southampton in Shirley, city centre, Northam and St Mary's over last two days http://t.co/UXQz2Yjj<br><br><a href=https://twitter.com/HantsPolice/status/266859209772122112 title=View this tweet target=_blank>Show Tweet</a>	32,37	-16,-37	/assets/imgs/drugstore.png
